,Name,Status,Bloat Files,Used Files,Bloated Functions,Used Functions,percentage_bloated_functions,percentage_bloated_files
0,cryptography,Inactive,58,14,1253,40,0.9690641918020109,0.8055555555555556
1,aiohttp,Inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
2,cryptography,Inactive,55,17,1222,76,0.9414483821263482,0.7638888888888888
3,configobj,Inactive,2,1,102,31,0.7669172932330827,0.6666666666666666
4,aiohttp,Inactive,42,3,1227,10,0.9919159256265158,0.9333333333333333
5,cryptography,Inactive,69,3,1284,7,0.994577846630519,0.9583333333333334
6,configobj,Inactive,2,1,114,19,0.8571428571428571,0.6666666666666666
7,cryptography,Inactive,51,21,1230,63,0.951276102088167,0.7083333333333334
8,cryptography,Inactive,60,12,1243,49,0.9620743034055728,0.8333333333333334
9,cryptography,Inactive,67,5,1269,22,0.9829589465530596,0.9305555555555556
10,configobj,Inactive,2,1,113,20,0.849624060150376,0.6666666666666666
11,configobj,Inactive,2,1,113,20,0.849624060150376,0.6666666666666666
12,configobj,Inactive,2,1,104,29,0.7819548872180451,0.6666666666666666
13,aiohttp,Active,27,18,1115,128,0.8970233306516492,0.6
14,requests,Inactive,11,7,224,12,0.9491525423728814,0.6111111111111112
15,aiohttp,Inactive,35,12,1118,93,0.9232039636663915,0.7446808510638298
16,cryptography,Active,63,9,1251,41,0.968266253869969,0.875
17,cryptography,Inactive,47,25,1156,147,0.8871834228702993,0.6527777777777778
18,cryptography,Inactive,57,15,1243,51,0.9605873261205564,0.7916666666666666
19,starlette,Active,24,8,407,23,0.9465116279069767,0.75
20,aiohttp,Inactive,34,11,1159,73,0.9407467532467533,0.7555555555555555
21,cryptography,Inactive,61,11,1220,71,0.9450038729666925,0.8472222222222222
22,pydantic,Inactive,11,7,281,46,0.8593272171253823,0.6111111111111112
23,cryptography,Inactive,62,10,1254,38,0.9705882352941176,0.8611111111111112
24,cryptography,Inactive,64,8,1264,27,0.9790859798605732,0.8888888888888888
25,urllib3,Inactive,34,3,391,4,0.9898734177215189,0.918918918918919
26,Flask-Cors,Inactive,3,2,13,14,0.48148148148148145,0.6
27,requests,Inactive,11,7,218,14,0.9396551724137931,0.6111111111111112
28,cryptography,Inactive,51,21,1224,74,0.9429892141756548,0.7083333333333334
29,cryptography,Inactive,69,3,1281,13,0.9899536321483772,0.9583333333333334
30,aiohttp,Active,29,16,1121,120,0.9033037872683319,0.6444444444444445
31,cryptography,Inactive,65,7,1278,13,0.9899302865995352,0.9027777777777778
32,OWSLib,Inactive,39,22,846,143,0.8554095045500506,0.639344262295082
33,Werkzeug,Inactive,39,13,1301,48,0.9644180874722016,0.75
34,aiohttp,Active,29,16,1133,100,0.9188969991889699,0.6444444444444445
35,cryptography,Inactive,71,1,1290,1,0.9992254066615027,0.9861111111111112
36,requests,Inactive,11,7,222,12,0.9487179487179487,0.6111111111111112
37,configobj,Inactive,2,1,103,30,0.7744360902255639,0.6666666666666666
38,cryptography,Inactive,55,17,1233,61,0.9528593508500772,0.7638888888888888
39,cryptography,Inactive,61,11,1246,46,0.9643962848297214,0.8472222222222222
40,cryptography,Inactive,58,14,1217,75,0.9419504643962848,0.8055555555555556
41,cryptography,Inactive,58,14,1253,40,0.9690641918020109,0.8055555555555556
42,aiohttp,Inactive,40,5,1217,16,0.9870235198702352,0.8888888888888888
